property_number,venue_name,venue_address,space_type,website,lat,lon,location
101427,San Marco Social Club,"149 Canning Street, Carlton, 3053",Community hall,https://www.instagram.com/explore/locations/410139584/san-marco-in-lamis-social-club-melbourne/,-37.795035125757934,144.97317627114788,POINT (144.973176271148 -37.795035125758)
103619,The Comedy Theatre,"240 Exhibition Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/comedy-theatre,-37.81021736084806,144.96989592744947,POINT (144.969895927449 -37.810217360848)
527419,Turf Bar,"Unit 1, LwrGround, 131 Queen Street, Melbourne, 3000",Bar,http://turfbar.com.au/,-37.815538920511045,144.96075342315893,POINT (144.960753423159 -37.815538920511)
105636,The Leveson,"46 Leveson Street, North Melbourne, 3051",Hotel,http://theleveson.melbourne/,-37.80370793018695,144.951185078014,POINT (144.951185078014 -37.803707930187)
542129,Cherry Bar,"Basement, 103 Flinders Lane, Melbourne, 3000",Venue,http://cherrybar.com.au/,-37.815376525088666,144.97089701596647,POINT (144.970897015966 -37.815376525089)
104653,Campari House,"21-25 Hardware Lane, Melbourne, 3000",Bar,https://www.camparihouse.com.au/,-37.81406901492111,144.96139208309128,POINT (144.961392083091 -37.814069014921)
104468,University of Melbourne,"230 Grattan Street, Parkville, 3010",Performance space,https://umsu.unimelb.edu.au/,-37.799910206479105,144.9604734702218,POINT (144.960473470222 -37.799910206479)
101221,The Elephant and Wheelbarrow,"94-96 Bourke Street, Melbourne, 3000",Hotel,https://bourkest.elephantandwheelbarrow.com.au/,-37.812003038513254,144.97032587079298,POINT (144.970325870793 -37.812003038513)
565097,Chaise Lounge,"Basement, 105 Queen Street, Melbourne, 3000",Nightclub,http://www.chaiselounge.com.au/,-37.81607553369085,144.96100472386703,POINT (144.961004723867 -37.816075533691)
540072,Victorian Arts Centre Trust,"Carpark, 100 St Kilda Road, Southbank, 3006",Multi-use,https://www.artscentremelbourne.com.au/about-us/media-centre/2017/may/victorian-arts-centre-trust,-37.82144364943292,144.9688880032937,POINT (144.968888003294 -37.821443649433)
529290,Eden Bar,"Level 1, 163-165 Russell Street, Melbourne, 3000",Nightclub,http://edenbar.com.au/,-37.81248788571263,144.9677712185572,POINT (144.967771218557 -37.812487885713)
580042,Lustre Bar,"4A Centre Place, Melbourne, 3000",Bar,http://www.lustrebar.com.au/,-37.81675634145909,144.96562102792308,POINT (144.965621027923 -37.816756341459)
598592,RACV City Club,"501 Bourke Street, Melbourne, 3000",Hotel,https://www.racv.com.au/travel-leisure/racv-club/city-club.html,-37.81557207833605,144.9591017007643,POINT (144.959101700764 -37.815572078336)
109436,Section 8 Bar,"27-29 Tattersalls Lane, Melbourne, 3000",Bar,https://section8.com.au/,-37.8117627149045,144.9654889438025,POINT (144.965488943803 -37.811762714904)
508983,Roxanne Bar,"Level 2-3, 2 Coverlid Place, Melbourne, 3000",Venue,https://www.facebook.com/roxannebarmelbourne/,-37.812290077617654,144.96856088051632,POINT (144.968560880516 -37.812290077618)
102148,Athenaeum Theatre,"184-192 Collins Street, Melbourne, 3000",Theatre,http://www.athenaeumtheatre.com.au/,-37.81509631361538,144.96731018907587,POINT (144.967310189076 -37.815096313615)
540196,The Palms At Crown,"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006",Bar,https://www.crownmelbourne.com.au/events-conferences/function-venues/the-palms-at-crown,-37.82237605653925,144.96005715393778,POINT (144.960057153938 -37.822376056539)
520402,The Bodega,"Shop 2, 47-55 Little Bourke Street, Melbourne, 3000",Bar,https://www.facebook.com/thebodegabar/,-37.8108890793276,144.97103359901016,POINT (144.97103359901 -37.810889079328)
516520,Max Bar and Restaurant,"Ground, 54 Hardware Lane, Melbourne, 3000",Bar,http://maxonhardware.com.au/,-37.813473669206125,144.96119469998956,POINT (144.96119469999 -37.813473669206)
537804,Abbey Road Institute,"Suite 1, Ground, 135 Sturt Street, Southbank, 3006",Recording,https://abbeyroadinstitute.com.au/,-37.827341922099656,144.96636533745024,POINT (144.96636533745 -37.8273419221)
604763,Blue Diamond,"Level 15, 123 Queen Street, Melbourne, 3000",,,-37.8156945346344,144.960819979804,POINT (144.960819979804 -37.815694534634)
623559,Pan Pacific Melbourne,"Pan Pacific Melbourne, 2 Convention Centre Place, South Wharf, 3006",Accommodation,https://www.panpacific.com/en/hotels-resorts/australia/melbourne.html,-37.82511036230947,144.9509891753036,POINT (144.950989175304 -37.825110362309)
601617,Lion Hotel at Melbourne Central,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000",Bar,http://www.acemelbourne.com.au/mclion/,-37.81049466323917,144.96260892303593,POINT (144.962608923036 -37.810494663239)
645472,The Drunken Poet,"Ground, 65 Peel Street, West Melbourne, 3003",Bar,http://www.thedrunkenpoet.com.au/,-37.80669546524965,144.95560816104967,POINT (144.95560816105 -37.80669546525)
644613,Urban Central Backpackers,"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006",Venue,http://urbancentral.com.au/,-37.82795247595504,144.95758234751773,POINT (144.957582347518 -37.827952475955)
502980,Bond Lounge Bar,"Ground, 20-24 Bond Street, Melbourne, 3000",Nightclub,http://www.bondmelbourne.com.au/,-37.818180434552545,144.96282893879925,POINT (144.962828938799 -37.818180434553)
602248,Workshop,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000",Bar,http://www.workshopbar.com.au/,-37.80915406493112,144.9606400792035,POINT (144.960640079204 -37.809154064931)
106215,Carlton Yacht Club,"298 Lygon Street, Carlton, 3053",,,-37.799970643253964,144.96723895405708,POINT (144.967238954057 -37.799970643254)
109416,Melbourne Town Hall,"90-130 Swanston Street, Melbourne, 3000",Performance space,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/Pages/melbourne-town-hall-rooms-for-hire.aspx,-37.814912543799636,144.9664536170434,POINT (144.966453617043 -37.8149125438)
110477,Mercury Lounge,"8 Whiteman Street, Southbank, 3006",Nightclub,http://www.citybars.com.au/Melbourne_bars/Mercury_Lounge/Bar/25607,-37.82242997287491,144.96001590680228,POINT (144.960015906802 -37.822429972875)
110477,Crown Casino,"8 Whiteman Street, Southbank, 3006",Casino,http://www.level3atcrown.com.au/,-37.822486643580916,144.96013363399763,POINT (144.960133633998 -37.822486643581)
104020,The Forum Theatre,"150-162 Flinders Street, Melbourne, 3000",Venue,https://forummelbourne.com.au/,-37.81672152422505,144.9694950938554,POINT (144.969495093855 -37.816721524225)
105941,The Bottom End,"577-583 Little Collins Street, Melbourne, 3000",,,-37.81764606140045,144.95554920127617,POINT (144.955549201276 -37.8176460614)
520980,Marrakech Bar,"LwrGround, 25 Bank Place, Melbourne, 3000",Nightclub,http://www.marrakechcocktailbar.com.au/,-37.81630543173182,144.9602164244812,POINT (144.960216424481 -37.816305431732)
575210,Eau de Vie,"Rear, 88 Flinders Street, Melbourne, 3000",Bar,,-37.81602795476901,144.97181318906033,POINT (144.97181318906 -37.816027954769)
684968,Velvet Bar,"Casino, 8 Whiteman Street, Southbank, 3006",Bar,https://www.crownmelbourne.com.au/bars-nightclubs/bars/velvet-bar,-37.82371881012607,144.95746455234837,POINT (144.957464552348 -37.823718810126)
105395,Inflation Nightclub/Top Yard Rooftop Bar,"54-60 King Street, Melbourne, 3000",Nightclub,http://www.inflation.com.au/aboutus.htm,-37.81895269154036,144.95708651070385,POINT (144.957086510704 -37.81895269154)
102525,The Langham,"234-236 Domain Road, South Yarra, 3141",Hotel,http://www.langhamhotels.com/en/the-langham/melbourne/,-37.83444869858646,144.98562037149898,POINT (144.985620371499 -37.834448698586)
105449,Duke Of Kent Hotel,"293-299 La Trobe Street, Melbourne, 3000",Venue,,-37.81071423194513,144.96049941842946,POINT (144.960499418429 -37.810714231945)
103102,The Shaw Davey Slum,"171 Elgin Street, Carlton, 3053",Bar,http://theshawdaveyslum.com.au/,-37.797432725686676,144.96879689682868,POINT (144.968796896829 -37.797432725687)
577360,Victoria Star Cruises,"Berth 10, Victoria Harbour, Docklands, 3008",Venue,http://www.victoriastar.com.au/,-37.817380564148905,144.9423023877635,POINT (144.942302387764 -37.817380564149)
509806,The Botanical,"169 Domain Road, South Yarra, 3141",Hotel,http://www.thebotanical.com.au/,-37.83414391594419,144.98179263809277,POINT (144.981792638093 -37.834143915944)
573544,City Library,"Pt Gnd ,Pt Mezz & Lvl 1, 253-265 Flinders Lane, Melbourne, 3000",Library,http://www.melbourne.vic.gov.au/community/libraries/locations/Pages/locations.aspx,-37.816868507007,144.96581223646334,POINT (144.965812236463 -37.816868507007)
664075,Euro House,"Ground, 16-20 Corrs Lane, Melbourne, 3000",Nightclub,http://www.eurohouse.com.au/,-37.81115429522088,144.96821759637908,POINT (144.968217596379 -37.811154295221)
544022,Polepole Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000",Bar,http://www.polepolebar.com.au/,-37.81471253447779,144.96556243961416,POINT (144.965562439614 -37.814712534478)
110477,Level 3 at Crown,"8 Whiteman Street, Southbank, 3006",Nightclub,http://www.level3atcrown.com.au/,-37.82248526641422,144.96005414679885,POINT (144.960054146799 -37.822485266414)
558769,Fiftyfive,"Basement, 55 Elizabeth Street, Melbourne, 3000",Bar,http://www.fifty-five.com.au/,-37.81697659904653,144.96422322338523,POINT (144.964223223385 -37.816976599047)
574265,GoGo Bar,"Basement, 125 Flinders Lane, Melbourne, 3000",Bar,https://www.chinchinrestaurant.com.au/melbourne/gogo-bar/,-37.81553872471665,144.97036036207516,POINT (144.970360362075 -37.815538724717)
503026,Spleen Central,"41 Bourke Street, Melbourne, 3000",Bar,https://whatson.melbourne.vic.gov.au/DiningandNightlife/BarsandPubs/AllBars/Pages/1804.aspx,-37.81180924479099,144.9719804643413,POINT (144.971980464341 -37.811809244791)
613319,Asian Beer Café,"Shop 311, Level 3, 300 Lonsdale Street, Melbourne, 3000",Bar,http://asianbeercafe.com.au/,-37.81016156449148,144.96340822349765,POINT (144.963408223498 -37.810161564491)
564954,Flinders Station Hotel Backpackers,"Unit 8-17, Level 3-12, 35 Elizabeth Street, Melbourne, 3000",Hotel,https://oconnells.com.au/,-37.81739448122377,144.964498854058,POINT (144.964498854058 -37.817394481224)
103402,Town Hall Hotel,"33 Errol Street, North Melbourne, 3051",Hotel,http://www.townhallhotelnorthmelbourne.com.au/,-37.8042244812213,144.94924245595533,POINT (144.949242455955 -37.804224481221)
504866,Sticky Institute,"Shop 10, Campbell Arcade, Melbourne, 3000",Bar,http://www.stickyinstitute.com/,-37.81780039372033,144.96608291162394,POINT (144.966082911624 -37.81780039372)
589716,Watermark Docklands,"Shop 9, 800 Bourke Street, Docklands, 3008",Bar,http://www.watermarkdocklands.com.au/,-37.81926761043375,144.94526954775787,POINT (144.945269547758 -37.819267610434)
521316,New Guernica,"Level 2, 318-322 Little Collins Street, Melbourne, 3000",Nightclub,http://www.newguernica.com.au/,-37.81503810840179,144.96410864029963,POINT (144.9641086403 -37.815038108402)
508066,Basement Discs,"Basement, 24 Block Place, Melbourne, 3000",Performance space,http://www.basementdiscs.com.au/,-37.815398812509436,144.96439685314675,POINT (144.964396853147 -37.815398812509)
574518,Loop Project Space & Bar,"Ground, 19-23 Meyers Place, Melbourne, 3000",Bar,http://www.looponline.com.au/,-37.81212244439291,144.97221043633814,POINT (144.972210436338 -37.812122444393)
108202,Capitano,"421 Rathdowne Street, Carlton, 3053",Hotel,https://www.thebeaufort.com.au/,-37.79645167488737,144.97050823745553,POINT (144.970508237456 -37.796451674887)
573333,Federation Square,"2 Swanston Street, Melbourne, 3000",Performance space,http://fedsquare.com/venue-hire,-37.81839877968878,144.96896594005398,POINT (144.968965940054 -37.818398779689)
626980,The Woolshed,"Shed 9, Victoria Harbour, Docklands, 3008",Hotel,https://www.woolshed.melbourne/,-37.816571590803626,144.9439939584494,POINT (144.943993958449 -37.816571590804)
588906,Horse Bazaar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000",Bar,http://www.horsebazaar.com.au/,-37.81181776178239,144.96018541434393,POINT (144.960185414344 -37.811817761782)
102962,Witches In Britches,"78-86 Dudley Street, West Melbourne, 3003",Amusement/Theme Venue,http://www.witchesinbritches.com.au/,-37.80900975220489,144.9526861520936,POINT (144.952686152094 -37.809009752205)
604756,CQ Melbourne,"Ground, 113 Queen Street, Melbourne, 3000",Nightclub,http://www.cqmelbourne.com.au/our-venues/cq-nightclub-home,-37.815890178211724,144.9609036675483,POINT (144.960903667548 -37.815890178212)
107871,Colour Nightclub,"229 Queensbury St, Carlton,",Nightclub,https://www.facebook.com/colournight.club/,-37.80447486558001,144.9611358873818,POINT (144.961135887382 -37.80447486558)
110349,Testing Grounds,"1-23 City Road, Southbank, 3006",Bar,http://www.testing-grounds.com.au/,-37.82122194809231,144.9675570806361,POINT (144.967557080636 -37.821221948092)
519135,Trapt Bar and Escape Rooms,"Unit 1, 377 Lonsdale Street, Melbourne, 3000",,,-37.81267565867737,144.96140750009823,POINT (144.961407500098 -37.812675658677)
602017,Hopscotch Urban Beer Bar,"Shop 4, 4 Riverside Quay, Southbank, 3006",Bar,https://www.hopscotchmelbourne.com.au/,-37.82109278417599,144.96374450927075,POINT (144.963744509271 -37.821092784176)
111203,East Melbourne Library,"122 George Street, East Melbourne, 3002",Library,http://www.melbourne.vic.gov.au/community/libraries/Pages/libraries.aspx,-37.81527551487422,144.9863774281896,POINT (144.98637742819 -37.815275514874)
104824,Highlander Bar,"11A Highlander Lane, Melbourne, 3000",Bar,http://highlanderbar.squarespace.com/,-37.81969180587922,144.9580106038663,POINT (144.958010603866 -37.819691805879)
543106,The Red Hummingbird,"Level 1, 246 Russell Street, Melbourne, 3000",Bar,https://www.redhummingbird.com.au/,-37.81048858505954,144.96722384705905,POINT (144.967223847059 -37.81048858506)
678337,Good Heavens,"Level 2, 79 Bourke Street, Melbourne, 3000",Bar,http://www.goodheavens.com.au/,-37.81207864874162,144.97105279643523,POINT (144.971052796435 -37.812078648742)
664076,Berlin Bar,"Level 1, 16-20 Corrs Lane, Melbourne, 3000",Bar,http://www.berlinbar.com.au/,-37.811157037789194,144.96837654729146,POINT (144.968376547291 -37.811157037789)
103602,Her Majesty's Theatre,"199-219 Exhibition Street, Melbourne, 3000",Theatre,http://www.hmt.com.au/,-37.81089990679512,144.96984175787586,POINT (144.969841757876 -37.810899906795)
102103,InterContinental Melbourne The Rialto,"487-503 Collins Street, Melbourne, 3000",Accommodation,https://www.melbourne.intercontinental.com/,-37.81812958399533,144.95792591365702,POINT (144.957925913657 -37.818129583995)
682124,Whitehart Bar,"Rear, 359 Lonsdale Street, Melbourne, 3000",,,-37.81255176993681,144.9618356969375,POINT (144.961835696938 -37.812551769937)
105967,Boney,"68 Little Collins Street, Melbourne, 3000",Venue,http://www.boney.net.au/,-37.81290578487124,144.97136869242834,POINT (144.971368692428 -37.812905784871)
105968,Magic Mountain Saloon,"62 Little Collins Street, Melbourne, 3000",Bar,http://www.magicmountainsaloon.com.au/,-37.812865395242035,144.97150999418588,POINT (144.971509994186 -37.812865395242)
597955,AAMI Park,"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004",Performance space,https://www.aamipark.com.au/,-37.823968769882505,144.98255462534763,POINT (144.982554625348 -37.823968769883)
634051,Munich Brauhaus,"45 South Wharf Promenade, South Wharf, 3006",Hotel,http://www.munichbrauhaus.com/,-37.82407576505346,144.95043329351685,POINT (144.950433293517 -37.824075765053)
559367,Robot Bar,"12 Bligh Place, Melbourne, 3000",Bar,http://www.robotsushi.com/,-37.81710896940462,144.9637044827892,POINT (144.963704482789 -37.817108969405)
621998,Australian Centre for the Moving Image (ACMI),"Tenancy 6, Alfred Deakin Building, Federation Square, 2 Swanston Street, Melbourne, 3000",Multi-use,https://www.acmi.net.au/,-37.81834623092842,144.96908666163947,POINT (144.969086661639 -37.818346230928)
652991,Sheraton Hotel Melbourne,"27 Little Collins Street, Melbourne, 3000",Accommodation,http://www.sheratonmelbourne.com/,-37.812646032283375,144.9726492304484,POINT (144.972649230448 -37.812646032283)
613003,P.J. O'Brien's,"Shop 12-16, Ground, 3 Southgate Avenue, Southbank, 3006",Hotel,http://www.pjobriens.com.au/southbank/,-37.82033397996246,144.9664180424327,POINT (144.966418042433 -37.820333979962)
650513,Wonderland Under the Melbourne Star,"Shop 5, 101 Waterfront Way, Docklands, 3008",Amusement/Theme Venue,https://www.melbournestar.com/?gclid=CjwKCAiAmb7RBRATEiwA7kS8VBQVMosVIhqHOV3pMaapzYqC9b15mj8JCZDZ2QitiLOvI-qVdKuh5hoCTtgQAvD_BwE,-37.811708257763414,144.93818411601958,POINT (144.93818411602 -37.811708257763)
507457,The Lui Bar,"Level 55S, 525 Collins Street, Melbourne, 3000",,,-37.818353178519466,144.95714325498983,POINT (144.95714325499 -37.818353178519)
592872,Belgian Beer Cafe Melbourne,"5 Riverside Quay, Southbank, 3006",Bar,https://www.belgianbeercafemelbourne.com.au/,-37.82144024332026,144.96446071868732,POINT (144.964460718687 -37.82144024332)
602028,Golden Monkey,"Basement & Rear, 389 Lonsdale Street, Melbourne, 3000",Bar,http://goldenmonkey.com.au/,-37.81278386278497,144.96103223580576,POINT (144.961032235806 -37.812783862785)
502966,Café Segovia,"33 Block Place, Melbourne, 3000",,https://www.tripadvisor.com.au/Restaurant_Review-g255100-d722884-Reviews-Cafe_Segovia-Melbourne_Victoria.html,-37.81530880548056,144.96431671833355,POINT (144.964316718334 -37.815308805481)
594103,Curtin House,"Unit S15, Level 7, 252 Swanston Street, Melbourne, 3000",Bar,http://curtinhouse.com/,-37.81197919475205,144.96513374198747,POINT (144.965133741987 -37.811979194752)
513483,The Mill House Bar,"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000",Bar,http://themillhouse.com.au/,-37.81703740632109,144.96524327382468,POINT (144.965243273825 -37.817037406321)
682450,La Di Da,"188-200 King Street, Melbourne, 3000",Nightclub,https://www.ladidapeople.com/,-37.815558987309416,144.95553316188418,POINT (144.955533161884 -37.815558987309)
102064,Harley House,"71 Collins Street, Melbourne, 3000",Bar,https://harleyhouse.com.au/,-37.81424168617854,144.97130100975428,POINT (144.971301009754 -37.814241686179)
616043,White Rabbit Record Bar,"176 Bellair Street, Kensington, 3031",Bar,http://www.whiterabbitrecords.com.au/White_Rabbit_Record_Bar/home.html,-37.79363079251513,144.9300832037398,POINT (144.93008320374 -37.793630792515)
555142,The Sub Club,"Unit 20, Basement, 35 Elizabeth Street, Melbourne, 3000",,,-37.817391733040644,144.96433989015495,POINT (144.964339890155 -37.817391733041)
664626,Union House Theatre University of Melbourne,"Union House Building 130, 230 Grattan Street, Parkville, 3010",Public University/College,https://umsu.unimelb.edu.au/,-37.799912958805734,144.96063239627077,POINT (144.960632396271 -37.799912958806)
630016,Max Watt's,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000",Venue,http://www.maxwatts.com.au/melbourne/,-37.81474151304183,144.96600928994255,POINT (144.966009289943 -37.814741513042)
107200,Church of All Nations,"178-204 Palmerston Street, Carlton, 3053",Church,http://carlton-uca.org/news/,-37.795962230869854,144.9687595076568,POINT (144.968759507657 -37.79596223087)
631756,The Emerald Peacock,"233 Lonsdale Street, Melbourne, 3000",Bar,http://theemeraldpeacock.com/,-37.81146925497217,144.9655499214504,POINT (144.96554992145 -37.811469254972)
101216,The Croft Institute,"21-25 Croft Alley, Melbourne, 3000",Nightclub,http://www.thecroftinstitute.com.au/,-37.8120527407846,144.96912389323862,POINT (144.969123893239 -37.812052740785)
510143,Baroq House,"Gnd & Bmt, 2 Drewery Place, Melbourne, 3000",,,-37.81119498448426,144.9640484516178,POINT (144.964048451618 -37.811194984484)
634045,The General Assembly,"29 South Wharf Promenade, South Wharf, 3006",Hotel,http://www.thegeneralassembly.com.au/,-37.82411828690496,144.95189029706034,POINT (144.95189029706 -37.824118286905)
512532,Coopers Inn,"Shop 1, 242 Exhibition Street, Melbourne, 3000",Hotel,http://www.coopersinn.com.au/,-37.809916568560254,144.96975861429243,POINT (144.969758614292 -37.80991656856)
609329,XE54 Nightclub,"Basement, 334-342 City Road, Southbank, 3006",,,-37.82794971778835,144.95742336165304,POINT (144.957423361653 -37.827949717788)
110733,Arts Centre Melbourne,"100 St Kilda Road, Southbank, 3006",Performance space,https://www.artscentremelbourne.com.au/,-37.821552859925035,144.96888500926758,POINT (144.968885009268 -37.821552859925)
