theme,sub_theme,feature_name,coordinates,lat,long
Leisure/Recreation,Public Buildings,Sidney Myer Music Bowl,"-37.8233471608733, 144.974686151365",-37.8233471608733,144.974686151365
Leisure/Recreation,Casino,Crown Entertainment Complex,"-37.8235761092516, 144.957312880653",-37.8235761092516,144.957312880653
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,"-37.8178516571684, 144.968963600783",-37.8178516571684,144.968963600783
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,"-37.8152178789077, 144.941617889032",-37.8152178789077,144.941617889032
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,"-37.8209956785618, 144.946781702342",-37.8209956785618,144.946781702342
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"-37.8247252673963, 144.98380297866",-37.8247252673963,144.98380297866
Leisure/Recreation,Marina,New Quay Marina,"-37.8152925454954, 144.942283726231",-37.8152925454954,144.942283726231
Leisure/Recreation,Function/Conference/Exhibition Centre,Central Pier,"-37.8165177307702, 144.943475014215",-37.8165177307702,144.943475014215
Leisure/Recreation,Observation Tower/Wheel,Melbourne Star Observation Wheel,"-37.8116163666726, 144.937588920436",-37.8116163666726,144.937588920436
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,"-37.8233522700646, 144.942102276731",-37.8233522700646,144.942102276731
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,"-37.7878473341234, 144.922972125346",-37.7878473341234,144.922972125346
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,"-37.8116945351989, 144.936833674975",-37.8116945351989,144.936833674975
Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,"-37.8220456119807, 144.978487173787",-37.8220456119807,144.978487173787
Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,"-37.8209085970021, 144.978735802793",-37.8209085970021,144.978735802793
Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,"-37.8213252086842, 144.977591098955",-37.8213252086842,144.977591098955
Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,"-37.823110002667, 144.981834802535",-37.823110002667,144.981834802535
Leisure/Recreation,Cinema,IMAX Melbourne,"-37.8034315561903, 144.970639929886",-37.8034315561903,144.970639929886
Leisure/Recreation,Theatre Live,MTC Theatre,"-37.8242661832902, 144.968174400274",-37.8242661832902,144.968174400274
Leisure/Recreation,Public Buildings,Elisabeth Murdoch Hall,"-37.8239733704282, 144.967450979234",-37.8239733704282,144.967450979234
Leisure/Recreation,Theatre Live,Hamer Hall,"-37.8199901009015, 144.967992144257",-37.8199901009015,144.967992144257
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Birrarung Marr,"-37.81806108403, 144.97314667014",-37.81806108403,144.97314667014
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Riverslide Skate Park,"-37.8207887122448, 144.972951789291",-37.8207887122448,144.972951789291
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,"-37.8206051404251, 144.971796067365",-37.8206051404251,144.971796067365
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,"-37.7988345257153, 144.941452061463",-37.7988345257153,144.941452061463
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,"-37.7982358832177, 144.923837074813",-37.7982358832177,144.923837074813
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Park,"-37.7906174256581, 144.953834240647",-37.7906174256581,144.953834240647
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,"-37.7870161727156, 144.961115214367",-37.7870161727156,144.961115214367
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,"-37.8320733992876, 144.973628364465",-37.8320733992876,144.973628364465
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Royal Botanic Gardens,"-37.8306631583233, 144.980850432751",-37.8306631583233,144.980850432751
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Yarra Park,"-37.820469374101, 144.986671109615",-37.820469374101,144.986671109615
Leisure/Recreation,Indoor Recreation Facility,Icehouse,"-37.8121881194053, 144.935684018873",-37.8121881194053,144.935684018873
Leisure/Recreation,Theatre Live,Athanaeum Theatre,"-37.814954347831, 144.96732254212",-37.814954347831,144.96732254212
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,"-37.7948375315825, 144.915607065132",-37.7948375315825,144.915607065132
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Darling Square,"-37.81299206932, 144.989062559512",-37.81299206932,144.989062559512
Leisure/Recreation,Theatre Live,Carlton Courthouse Theatre,"-37.7976589943217, 144.968750113566",-37.7976589943217,144.968750113566
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,"-37.8111222889277, 144.954696055235",-37.8111222889277,144.954696055235
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,"-37.7823097850883, 144.910822117306",-37.7823097850883,144.910822117306
Leisure/Recreation,Theatre Live,Her Majesty's Theatre,"-37.8109975612842, 144.969520183129",-37.8109975612842,144.969520183129
Leisure/Recreation,Theatre Live,Comedy Theatre,"-37.8102053945163, 144.97013311862",-37.8102053945163,144.97013311862
Leisure/Recreation,Theatre Live,La Mama Theatre,"-37.7991304956733, 144.967669503083",-37.7991304956733,144.967669503083
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,"-37.8413996708186, 144.981625667877",-37.8413996708186,144.981625667877
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,"-37.8129616331579, 144.980455714669",-37.8129616331579,144.980455714669
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,"-37.820210269629, 144.959276859602",-37.820210269629,144.959276859602
Leisure/Recreation,Theatre Live,Forum Theatre,"-37.816485409696, 144.969386556998",-37.816485409696,144.969386556998
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,"-37.8031480577285, 144.965761295089",-37.8031480577285,144.965761295089
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,"-37.8025164192523, 144.965863092947",-37.8025164192523,144.965863092947
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,"-37.7983318676737, 144.971514146104",-37.7983318676737,144.971514146104
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,"-37.8002735025371, 144.973059252203",-37.8002735025371,144.973059252203
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parliament Reserve,"-37.809852620638, 144.973462202839",-37.809852620638,144.973462202839
Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,"-37.7934377042609, 144.971696548624",-37.7934377042609,144.971696548624
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,"-37.8071585350561, 144.963189789721",-37.8071585350561,144.963189789721
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,"-37.8314918578874, 144.908824792698",-37.8314918578874,144.908824792698
Leisure/Recreation,Aquarium,Melbourne Aquarium,"-37.8209627824685, 144.958425696055",-37.8209627824685,144.958425696055
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,"-37.8242456858593, 144.979720306309",-37.8242456858593,144.979720306309
Leisure/Recreation,Major Sports & Recreation Facility,Etihad Stadium,"-37.8161760471742, 144.947496254547",-37.8161760471742,144.947496254547
Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,"-37.8216187583314, 144.964622218598",-37.8216187583314,144.964622218598
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Lincoln Square,"-37.8027919689732, 144.962760852233",-37.8027919689732,144.962760852233
